Position,Dist.,Seat,Name,Party,District Type,Notes
U.S. President,,,Joel Skousen  ,CON,Federal,Rik Combs – Vice President  
U.S. President,,,Kamala D. Harris,DEM,Federal,Tim Walz – Vice President  
U.S. President,,,Chase Oliver  ,LIB,Federal,Mike ter Maat – Vice President  
U.S. President,,,Donald J. Trump  ,REP,Federal,J.D. Vance – Vice President  
U.S. President,,,Shiva Ayyadurai  ,IND,Federal,Crystal Ellis – Vice President  
U.S. President,,,Claudia De la Cruz  ,IND,Federal,Karina Garcia – Vice President  
U.S. President,,,Robert F Kennedy Jr.  ,IND,Federal,Nicole Shanahan – Vice President
U.S. President,,,Jill Stein  ,IND,Federal,Samson Kpadenou – Vice President  
U.S. President,,,Randall Terry  ,IND,Federal,Stephen Broden – Vice President  
U.S. Rep.,1,,Brendan J. Gomez,CON,Federal,
U.S. Rep.,1,,Kaylee Peterson,DEM,Federal,
U.S. Rep.,1,,Matt Loesby,LIB,Federal,
U.S. Rep.,1,,Russ Fulcher,REP,Federal,
U.S. Rep.,2,,Idaho Law  - Carta Sierra,CON,Federal,
U.S. Rep.,2,,David Roth,DEM,Federal,
U.S. Rep.,2,,Todd Corsetti,LIB,Federal,
U.S. Rep.,2,,Mike Simpson,REP,Federal,
State Senator,1,,Jim Woodward,REP,Legislative,
State Senator,1,,"Daniel ""Dan"" Rose",IND,Legislative,
State Senator,1,,Steve Johnson,IND,Legislative,Withdrawn 6/10/2024
State Rep.,1,A,Karen Matthee,DEM,Legislative,
State Rep.,1,A,Mark Sauter,REP,Legislative,
State Rep.,1,B,Kathryn Larson,DEM,Legislative,
State Rep.,1,B,Cornel Rasor,REP,Legislative,
State Senator,2,,Tom Hearn,DEM,Legislative,
State Senator,2,,Phil Hart,REP,Legislative,
State Rep.,2,A,Loree Peery,DEM,Legislative,
State Rep.,2,A,Heather Scott,REP,Legislative,
State Rep.,2,B,Jennifer Luoma,LIB,Legislative,
State Rep.,2,B,Dale Hawkins,REP,Legislative,
State Rep.,2,B,Tami Holdahl,IND,Legislative,
State Senator,3,,Brian Seguin,DEM,Legislative,
State Senator,3,,"Doug ""Doug O"" Okuniewicz",REP,Legislative,
State Rep.,3,A,Dale Broadsword,DEM,Legislative,
State Rep.,3,A,Vito Barbieri,REP,Legislative,
State Rep.,3,B,Steve Bruno,DEM,Legislative,
State Rep.,3,B,Jordan Redman,REP,Legislative,
State Senator,4,,Carissa Hober,DEM,Legislative,
State Senator,4,,Ben Toews,REP,Legislative,
State Rep.,4,A,Angela Jean Chandler,DEM,Legislative,
State Rep.,4,A,Joe Alfieri,REP,Legislative,
State Rep.,4,B,Paula Marano,DEM,Legislative,
State Rep.,4,B,Elaine Price,REP,Legislative,
State Senator,5,,Adam Chapman,DEM,Legislative,
State Senator,5,,Carl Bjerke,REP,Legislative,
State Rep.,5,A,Kristy Reed Johnson,DEM,Legislative,
State Rep.,5,A,Ron Mendive,REP,Legislative,
State Rep.,5,A,"Robert ""Bob"" Nonini",IND,Legislative,
State Rep.,5,B,Teresa Borrenpohl,DEM,Legislative,
State Rep.,5,B,Tony Wisniewski,REP,Legislative,
State Senator,6,,Julia Parker,DEM,Legislative,
State Senator,6,,Dan Foreman,REP,Legislative,
State Rep.,6,A,Trish Carter-Goodheart,DEM,Legislative,
State Rep.,6,A,Lori McCann,REP,Legislative,
State Rep.,6,B,Kathy Dawes,DEM,Legislative,
State Rep.,6,B,Brandon Mitchell,REP,Legislative,
State Senator,7,,Bill Farmer,DEM,Legislative,
State Senator,7,,Cindy Carlson,REP,Legislative,
State Rep.,7,A,Vickie Nostrant,DEM,Legislative,
State Rep.,7,A,Kyle N Harris,REP,Legislative,
State Rep.,7,B,Dustin Hardisty,DEM,Legislative,
State Rep.,7,B,Charlie Shepherd,REP,Legislative,
State Senator,8,,David Hoag,DEM,Legislative,
State Senator,8,,Christy Zito,REP,Legislative,
State Rep.,8,A,Rob Beiswenger,REP,Legislative,
State Rep.,8,B,Tony Ullrich,CON,Legislative,
State Rep.,8,B,Jared Dawson,DEM,Legislative,
State Rep.,8,B,Faye Thompson,REP,Legislative,
State Senator,9,,Rachel Buck,DEM,Legislative,
State Senator,9,,Brandon Shippy,REP,Legislative,
State Rep.,9,A,Thomas P Albritton,DEM,Legislative,
State Rep.,9,A,John C. Shirts,REP,Legislative,
State Rep.,9,B,Jody Keeler,DEM,Legislative,
State Rep.,9,B,Judy Boyle,REP,Legislative,
State Senator,10,,Letishia Silva,DEM,Legislative,
State Senator,10,,Tammy Nichols,REP,Legislative,
State Rep.,10,A,Nancy Parker,DEM,Legislative,
State Rep.,10,A,Mike Moyle,REP,Legislative,
State Rep.,10,B,Shana Tremaine,DEM,Legislative,
State Rep.,10,B,Bruce D. Skaug,REP,Legislative,
State Senator,11,,Toni Ferro,DEM,Legislative,
State Senator,11,,Camille Blaylock,REP,Legislative,
State Rep.,11,A,Anthony Porto,DEM,Legislative,
State Rep.,11,A,Kent A. Marmon,REP,Legislative,
State Rep.,11,B,Marisela Pesina,DEM,Legislative,
State Rep.,11,B,Lucas Cayler,REP,Legislative,
State Senator,12,,Ben Adams,REP,Legislative,
State Rep.,12,A,Jeff Cornilles,REP,Legislative,
State Rep.,12,B,Don Benson,DEM,Legislative,
State Rep.,12,B,Jaron Crane,REP,Legislative,
State Senator,13,,Sarah Butler,DEM,Legislative,
State Senator,13,,Brian Lenney,REP,Legislative,
State Rep.,13,A,Cliff Hohman,DEM,Legislative,
State Rep.,13,A,Brent J. Crane,REP,Legislative,
State Rep.,13,B,Steve Tanner,REP,Legislative,
State Senator,14,,Kirsten Faith Richardson,CON,Legislative,
State Senator,14,,C. Scott Grow,REP,Legislative,
State Rep.,14,A,Ted Hill,REP,Legislative,
State Rep.,14,B,Jo Daly,DEM,Legislative,
State Rep.,14,B,Josh Tanner,REP,Legislative,
State Senator,15,,Rick Just,DEM,Legislative,
State Senator,15,,Codi Galloway,REP,Legislative,
State Rep.,15,A,Steve Berch,DEM,Legislative,
State Rep.,15,A,Annette Tipton,REP,Legislative,
State Rep.,15,B,Shari Baber,DEM,Legislative,
State Rep.,15,B,Dori Healey,REP,Legislative,
State Senator,16,,Ali Rabe,DEM,Legislative,
State Senator,16,,LeeJoe Lay,REP,Legislative,Withdrawn 7/17/2024
State Senator,16,,Doug Rich,REP,Legislative,Appointed 7/31/2024 (to replace withdrawn candidate)
State Rep.,16,A,Sonia Galaviz,DEM,Legislative,
State Rep.,16,A,Chandler Stewart Hadraba,REP,Legislative,
State Rep.,16,B,Todd Achilles,DEM,Legislative,
State Rep.,16,B,Jackie Davidson,REP,Legislative,
State Senator,17,,Carrie Semmelroth,DEM,Legislative,
State Senator,17,,Benjamin D. Chafetz,REP,Legislative,
State Rep.,17,A,John L Gannon,DEM,Legislative,
State Rep.,17,B,Megan Egbert,DEM,Legislative,
State Rep.,17,B,Jazz Alexis,REP,Legislative,
State Senator,18,,Janie Ward-Engelking,DEM,Legislative,
State Senator,18,,Dan Bridges,REP,Legislative,
State Rep.,18,A,Ilana Rubel,DEM,Legislative,
State Rep.,18,B,Brooke Green,DEM,Legislative,
State Senator,19,,Melissa Wintrow,DEM,Legislative,
State Rep.,19,A,Monica C. Church,DEM,Legislative,
State Rep.,19,A,Jim Feederle,REP,Legislative,
State Rep.,19,B,Chris Mathias,DEM,Legislative,
State Senator,20,,Andy Arriaga,DEM,Legislative,
State Senator,20,,Josh Keyser,REP,Legislative,
State Rep.,20,A,Isaiah Navarro,DEM,Legislative,
State Rep.,20,A,Joe A Palmer,REP,Legislative,
State Rep.,20,B,James D. Holtzclaw,REP,Legislative,
State Senator,21,,Mike Long,LIB,Legislative,
State Senator,21,,Treg A. Bernt,REP,Legislative,
State Rep.,21,A,Casey Hess,DEM,Legislative,
State Rep.,21,A,James Petzke,REP,Legislative,
State Rep.,21,B,Daniel S. Weston,CON,Legislative,
State Rep.,21,B,Becky R. McKinstry,DEM,Legislative,
State Rep.,21,B,Jeff Ehlers,REP,Legislative,
State Senator,22,,Dawn C. Pierce,DEM,Legislative,
State Senator,22,,Lori Den Hartog,REP,Legislative,
State Rep.,22,A,Loren Petty,DEM,Legislative,
State Rep.,22,A,John Vander Woude,REP,Legislative,
State Rep.,22,B,Glida Bothwell,DEM,Legislative,
State Rep.,22,B,Jason A. Monks,REP,Legislative,
State Senator,23,,Paul Smith,CON,Legislative,
State Senator,23,,Paul Morgan,DEM,Legislative,
State Senator,23,,Todd Lakey,REP,Legislative,
State Rep.,23,A,Don Harrington,DEM,Legislative,Withdrawn 8/2/2024
State Rep.,23,A,Wendy Coome,DEM,Legislative,Appointed 8/13/2024 (to replace withdrawn candidate)
State Rep.,23,A,Chris Bruce,REP,Legislative,
State Rep.,23,B,Julissa Melendez Castellanos,DEM,Legislative,
State Rep.,23,B,Shawn R Dygert,REP,Legislative,
State Senator,24,,Edward A Easterling,DEM,Legislative,
State Senator,24,,Glenneda Zuiderveld,REP,Legislative,
State Rep.,24,A,Clint Hostetler,REP,Legislative,
State Rep.,24,B,Steve Miller,REP,Legislative,
State Senator,25,,Josh Kohl,REP,Legislative,
State Rep.,25,A,W. Lane Startin,DEM,Legislative,
State Rep.,25,A,Lance Clow,REP,Legislative,
State Rep.,25,B,David J. Leavitt,REP,Legislative,
State Senator,26,,Ron Taylor,DEM,Legislative,
State Senator,26,,Laurie Lickley,REP,Legislative,
State Senator,26,,Kala Tate,IND,Legislative,
State Rep.,26,A,Ned W Burns,DEM,Legislative,
State Rep.,26,A,Mike Pohanka,REP,Legislative,
State Rep.,26,B,Chris Hansen,DEM,Legislative,
State Rep.,26,B,Jack Nelsen,REP,Legislative,
State Senator,27,,Kelly Anthon,REP,Legislative,
State Rep.,27,A,Damian D. Rodriguez,DEM,Legislative,
State Rep.,27,A,Douglas T Pickett,REP,Legislative,
State Rep.,27,B,Clay Handy,REP,Legislative,
State Senator,28,,"Russell ""Russ"" Matter",DEM,Legislative,
State Senator,28,,Jim Guthrie,REP,Legislative,
State Rep.,28,A,Richard (Rick) Cheatum,REP,Legislative,
State Rep.,28,B,Jayson Meline,DEM,Legislative,
State Rep.,28,B,Dan Garner,REP,Legislative,
State Senator,29,,James D. Ruchti,DEM,Legislative,
State Rep.,29,A,Mary Shea,DEM,Legislative,
State Rep.,29,A,Dustin W. Manwaring,REP,Legislative,
State Rep.,29,B,Nate Roberts,DEM,Legislative,
State Rep.,29,B,Tanya Burgoyne,REP,Legislative,
State Senator,30,,Karen Keith,DEM,Legislative,
State Senator,30,,Julie VanOrden,REP,Legislative,
State Rep.,30,A,David Cannon,REP,Legislative,
State Rep.,30,B,Breane L. Buckingham,DEM,Legislative,
State Rep.,30,B,Ben G. Fuhriman,REP,Legislative,
State Senator,31,,Dean Martonen,DEM,Legislative,
State Senator,31,,Van T. Burtenshaw,REP,Legislative,
State Rep.,31,A,Connie Delaney,DEM,Legislative,
State Rep.,31,A,Jerald Raymond,REP,Legislative,
State Rep.,31,B,Wayne Talmadge,DEM,Legislative,
State Rep.,31,B,Rod Furniss,REP,Legislative,
State Senator,32,,Kevin J Cook,REP,Legislative,
State Rep.,32,A,Stephanie Mickelsen,REP,Legislative,
State Rep.,32,B,Patricia Dustin Stanger,DEM,Legislative,Withdrawn 7/10/2024
State Rep.,32,B,Cecile Perez,DEM,Legislative,Appointed 7/22/2024 (to replace withdrawn candidate)
State Rep.,32,B,Wendy Horman,REP,Legislative,
State Senator,33,,Dave Lent,REP,Legislative,
State Rep.,33,A,Miranda Marquit,DEM,Legislative,
State Rep.,33,A,Barbara Ehardt,REP,Legislative,
State Rep.,33,B,Marco Erickson,REP,Legislative,
State Senator,34,,Marsha Craner,DEM,Legislative,
State Senator,34,,Doug Ricks,REP,Legislative,
State Rep.,34,A,Jon O Weber,REP,Legislative,
State Rep.,34,B,Britt Raybould,REP,Legislative,
State Senator,35,,Chris Riley,DEM,Legislative,
State Senator,35,,Mark Harris,REP,Legislative,
State Rep.,35,A,Joseph Messerly,DEM,Legislative,
State Rep.,35,A,Kevin Andrus,REP,Legislative,
State Rep.,35,B,Maggie Shaw,DEM,Legislative,
State Rep.,35,B,Joshua Wheeler,REP,Legislative,
